id,stats_data_id,cat01,item_name,item_code,unit,area_type,is_ranking
2341,"0000010112","L7201","消費支出（二人以上の世帯）","consumption-expenditure-multi-person-households","円","prefecture",0
2161,"0000010112","L3211","消費支出（二人以上の世帯のうち勤労者世帯）（家計調査結果）","consumption-expenditure-worker-households","円","prefecture",0
2354,"0000010112","L7211","消費支出（二人以上の世帯のうち勤労者世帯）","consumption-expenditure-worker-households","円","prefecture",0
3252,"0000010103","C5125","消費者物価指数変化率・教養娯楽","cpi-change-rate-culture-recreation","‐","prefecture",0
385,"0000010212","#L04112","消費者物価指数対前年変化率（教養娯楽）","cpi-change-rate-culture-recreation","％","prefecture",0
3251,"0000010103","C5124","消費者物価指数変化率・教育","cpi-change-rate-education","‐","prefecture",0
384,"0000010212","#L04111","消費者物価指数対前年変化率（教育）","cpi-change-rate-education","％","prefecture",0
3244,"0000010103","C5117","消費者物価指数変化率・食料","cpi-change-rate-food","‐","prefecture",0
377,"0000010212","#L04104","消費者物価指数対前年変化率（食料）","cpi-change-rate-food","％","prefecture",0
3249,"0000010103","C5122","消費者物価指数変化率・保健医療","cpi-change-rate-healthcare","‐","prefecture",0
382,"0000010212","#L04109","消費者物価指数対前年変化率（保健医療）","cpi-change-rate-healthcare","％","prefecture",0
3253,"0000010103","C5126","消費者物価指数変化率・諸雑費","cpi-change-rate-miscellaneous","‐","prefecture",0
386,"0000010212","#L04113","消費者物価指数対前年変化率（諸雑費）","cpi-change-rate-miscellaneous","％","prefecture",0
3250,"0000010103","C5123","消費者物価指数変化率・交通・通信","cpi-change-rate-transport-communication","‐","prefecture",0
383,"0000010212","#L04110","消費者物価指数対前年変化率（交通・通信）","cpi-change-rate-transport-communication","％","prefecture",0
3246,"0000010103","C5119","消費者物価指数変化率・光熱・水道","cpi-change-rate-utilities","‐","prefecture",0
379,"0000010212","#L04106","消費者物価指数対前年変化率（光熱・水道）","cpi-change-rate-utilities","％","prefecture",0
2193,"0000010112","L3221091","教養娯楽サービス費（二人以上の世帯）（家計調査結果）","culture-entertainment-services-multi-person-households","円","prefecture",0
2351,"0000010112","L7201091","教養娯楽サービス（二人以上の世帯）","culture-entertainment-services-multi-person-households","円","prefecture",0
1223,"0000010104","D2103","経常収支比率（都道府県財政）","current-balance-ratio","％","prefecture",0
5,"0000010204","#D01401","経常収支比率（都道府県財政）","current-balance-ratio","％","prefecture",0
2242,"0000010112","L440101","負債現在高（二人以上の世帯）","current-liabilities-balance-multi-person-households","千円","prefecture",0
2375,"0000010112","L740101","金融負債残高（二人以上の世帯）","current-liabilities-balance-multi-person-households","千円","prefecture",0
363,"0000010212","#L03401","負債現在高（二人以上の世帯）（1世帯当たり）","current-liabilities-balance-multi-person-households","千円","prefecture",0
3903,"0000010101","A6108","昼夜間人口比率","day-time-population-ratio","％","prefecture",0
483,"0000010201","#A01302","昼夜間人口比率","day-time-population-ratio","％","prefecture",0
2120,"0000010106","F35021","障害者就職率","disabled-employment-rate","％","prefecture",0
299,"0000010206","#F03602","障害者就職率","disabled-employment-rate","％","prefecture",0
2145,"0000010112","L3130","可処分所得（二人以上の世帯のうち勤労者世帯）（家計調査結果）","disposable-income-worker-households","円","prefecture",0
2340,"0000010112","L7130","可処分所得（二人以上の世帯のうち勤労者世帯）","disposable-income-worker-households","円","prefecture",0
4641,"0000010108","H5104","発電電力量","electricity-generation-capacity","ＭＷｈ","prefecture",0
