code,indicator,unit,category,series,opp,prefAvail,cityAvail,prefUsed,cityUsed,vintage,prefId,cityId
A141101,12～14歳人口（男）,人,人口・世帯,basic,NEW pref+city,1,1,0,0,0,0000010101,0000020201
A141102,12～14歳人口（女）,人,人口・世帯,basic,NEW pref+city,1,1,0,0,0,0000010101,0000020201
A1412,14～19歳人口,人,人口・世帯,basic,NEW pref+city,1,1,0,0,0,0000010101,0000020201
A141201,14～19歳人口（男）,人,人口・世帯,basic,NEW pref+city,1,1,0,0,0,0000010101,0000020201
A141202,14～19歳人口（女）,人,人口・世帯,basic,NEW pref+city,1,1,0,0,0,0000010101,0000020201
A1413,15～17歳人口,人,人口・世帯,basic,NEW pref+city,1,1,0,0,0,0000010101,0000020201
A141301,15～17歳人口（男）,人,人口・世帯,basic,NEW pref+city,1,1,0,0,0,0000010101,0000020201
A141302,15～17歳人口（女）,人,人口・世帯,basic,NEW pref+city,1,1,0,0,0,0000010101,0000020201
A1414,15歳以上人口,人,人口・世帯,basic,NEW pref+city,1,1,0,0,0,0000010101,0000020201
A141401,15歳以上人口（男）,人,人口・世帯,basic,NEW pref+city,1,1,0,0,0,0000010101,0000020201
A141402,15歳以上人口（女）,人,人口・世帯,basic,NEW pref+city,1,1,0,0,0,0000010101,0000020201
A1415,40歳以上人口,人,人口・世帯,basic,NEW pref+city,1,1,0,0,0,0000010101,0000020201
A141501,40歳以上人口（男）,人,人口・世帯,basic,NEW pref+city,1,1,0,0,0,0000010101,0000020201
A141502,40歳以上人口（女）,人,人口・世帯,basic,NEW pref+city,1,1,0,0,0,0000010101,0000020201
A1416,60歳以上人口,人,人口・世帯,basic,NEW pref+city,1,1,0,0,0,0000010101,0000020201
A141601,60歳以上人口（男）,人,人口・世帯,basic,NEW pref+city,1,1,0,0,0,0000010101,0000020201
A141602,60歳以上人口（女）,人,人口・世帯,basic,NEW pref+city,1,1,0,0,0,0000010101,0000020201
A1417,70歳以上人口,人,人口・世帯,basic,NEW pref+city,1,1,0,0,0,0000010101,0000020201
A141701,70歳以上人口（男）,人,人口・世帯,basic,NEW pref+city,1,1,0,0,0,0000010101,0000020201
A141702,70歳以上人口（女）,人,人口・世帯,basic,NEW pref+city,1,1,0,0,0,0000010101,0000020201
A1418,80歳以上人口,人,人口・世帯,basic,NEW pref+city,1,1,0,0,0,0000010101,0000020201
A141801,80歳以上人口（男）,人,人口・世帯,basic,NEW pref+city,1,1,0,0,0,0000010101,0000020201
A141802,80歳以上人口（女）,人,人口・世帯,basic,NEW pref+city,1,1,0,0,0,0000010101,0000020201
A1419,75歳以上人口,人,人口・世帯,basic,NEW pref+city,1,1,0,0,0,0000010101,0000020201
A141901,75歳以上人口（男）,人,人口・世帯,basic,NEW pref+city,1,1,0,0,0,0000010101,0000020201
A141902,75歳以上人口（女）,人,人口・世帯,basic,NEW pref+city,1,1,0,0,0,0000010101,0000020201
A1420,85歳以上人口,人,人口・世帯,basic,NEW pref+city,1,1,0,0,0,0000010101,0000020201
A142001,85歳以上人口（男）,人,人口・世帯,basic,NEW pref+city,1,1,0,0,0,0000010101,0000020201
A142002,85歳以上人口（女）,人,人口・世帯,basic,NEW pref+city,1,1,0,0,0,0000010101,0000020201
A161001,未婚者割合（15歳以上人口）,％,人口・世帯,basic,NEW pref+city,1,1,0,0,0,0000010101,0000020201
A180101,人口集中地区人口（男）,人,人口・世帯,basic,NEW pref+city,1,1,0,0,0,0000010101,0000020201
A180102,人口集中地区人口（女）,人,人口・世帯,basic,NEW pref+city,1,1,0,0,0,0000010101,0000020201
A191001,将来推計人口（2020年）,人,人口・世帯,basic,NEW pref+city,1,1,0,0,0,0000010101,0000020201
A191002,将来推計人口（2025年）,人,人口・世帯,basic,NEW pref+city,1,1,0,0,0,0000010101,0000020201
A191003,将来推計人口（2030年）,人,人口・世帯,basic,NEW pref+city,1,1,0,0,0,0000010101,0000020201
A191004,将来推計人口（2035年）,人,人口・世帯,basic,NEW pref+city,1,1,0,0,0,0000010101,0000020201
A191005,将来推計人口（2040年）,人,人口・世帯,basic,NEW pref+city,1,1,0,0,0,0000010101,0000020201
A191006,将来推計人口（2045年）,人,人口・世帯,basic,NEW pref+city,1,1,0,0,0,0000010101,0000020201
A191007,将来推計人口（2050年）,人,人口・世帯,basic,NEW pref+city,1,1,0,0,0,0000010101,0000020201
A2101,住民基本台帳人口（日本人）,人,人口・世帯,basic,NEW pref+city,1,1,0,0,0,0000010101,0000020201
A210101,住民基本台帳人口（日本人）（男）,人,人口・世帯,basic,NEW pref+city,1,1,0,0,0,0000010101,0000020201
A210102,住民基本台帳人口（日本人）（女）,人,人口・世帯,basic,NEW pref+city,1,1,0,0,0,0000010101,0000020201
A2201,住民基本台帳人口（外国人）,人,人口・世帯,basic,NEW pref+city,1,1,0,0,0,0000010101,0000020201
A2301,住民基本台帳人口（総数）,人,人口・世帯,basic,NEW pref+city,1,1,0,0,0,0000010101,0000020201
A6101,従業も通学もしていない人口,人,人口・世帯,basic,NEW pref+city,1,1,0,0,0,0000010101,0000020201
A6102,自市区町村で従業・通学している人口,人,人口・世帯,basic,NEW pref+city,1,1,0,0,0,0000010101,0000020201
A6103,流出人口（県内他市区町村で従業・通学している人口）,人,人口・世帯,basic,NEW pref+city,1,1,0,0,0,0000010101,0000020201
A6104,流出人口（他県で従業・通学している人口）,人,人口・世帯,basic,NEW pref+city,1,1,0,0,0,0000010101,0000020201
